sample_id,dataset,emotion,split,pitch_mean,pitch_std,voiced_ratio,rms_mean,rms_std,zcr_mean,zcr_std,pause_ratio,pause_count,speaking_continuity
s011121,SAVEE,angry,train,192.912936971539,50.883428208281984,0.754601226993865,0.2580637241724449,0.22802613260388008,0.11330829326923077,0.12664896013325086,0.08024691358024694,5,0.9197530864197531
s001102,CREMA-D,angry,test,0.0,0.0,0.0,0.06848379873822555,0.07790243904580699,0.1079759530141844,0.0977134629173451,0.0,0,1.0
s005225,CREMA-D,angry,train,452.9740537646879,205.16634879300528,0.8524590163934426,0.2358862052687005,0.17184842259841482,0.15525729597107438,0.10131324080352849,0.0,0,1.0
s004078,CREMA-D,angry,train,195.58473007257933,23.330972688036784,0.6086956521739131,0.1096705013456253,0.09478313136257094,0.0987079326923077,0.04135056863753939,0.0888888888888889,1,0.9111111111111111
s003327,CREMA-D,angry,train,262.8785925078841,71.14235226555299,0.550561797752809,0.07067614567787045,0.0726359436158399,0.11915717690677965,0.10232413403564164,0.03409090909090906,0,0.9659090909090909
s009757,TESS,angry,train,243.13462218939958,28.71631210576051,0.6428571428571429,0.08900222380845142,0.07567401345604678,0.30894252232142855,0.26193419926830935,0.01429089792614513,1,0.9857091020738549
s004305,CREMA-D,angry,train,153.22849391516522,65.5176604610876,0.18055555555555555,0.05926334633517803,0.07381750804242562,0.1765068901909722,0.19556071286203508,0.013890772945549301,0,0.9861092270544507
s003813,CREMA-D,angry,train,0.0,0.0,0.0,0.08124831383900037,0.06881240355872398,0.1421053447420635,0.12664079730181177,0.0,0,1.0
s003157,CREMA-D,angry,train,237.02777588354866,25.429603772903963,0.8367346938775511,0.18877467236568019,0.16119865213087256,0.20659834085051546,0.16803528689098346,0.0,0,1.0
s005775,CREMA-D,angry,train,247.8853632764113,56.2709908019824,0.6491228070175439,0.07279317567240348,0.07599113699761732,0.11207134955752213,0.0580943054144896,0.0892857142857143,1,0.9107142857142857
s004591,CREMA-D,angry,validation,150.61127942644532,38.48799261824575,0.7333333333333333,0.07320733608102939,0.0772328983102339,0.09344851090604027,0.04487381896668794,0.06756756756756754,1,0.9324324324324325
s009793,TESS,angry,train,249.68661085089997,39.21431509333875,0.671875,0.10607444843017005,0.09299935689205192,0.23572065698818898,0.2280701193346462,0.0,0,1.0
s006695,CREMA-D,angry,train,188.85170952736843,37.05335408934617,0.4807692307692308,0.11707299076093053,0.0966720427562853,0.12091360740291263,0.07711893786905148,0.0,0,1.0
s005107,CREMA-D,angry,train,229.18070793694173,34.123541141807394,0.8115942028985508,0.22781827395958623,0.15334906433387555,0.09212477189781022,0.05234621254303149,0.0,0,1.0
